iter	Logloss
0	0.6277139688
1	0.5947056414
2	0.5672021237
3	0.5497326185
4	0.5344218336
5	0.5228040256
6	0.5142913567
7	0.5062336961
8	0.4962640709
9	0.4882931265
10	0.4822244471
11	0.4755918751
12	0.4692645572
13	0.4635777111
14	0.4582628113
15	0.453893274
16	0.4497780025
17	0.4455883464
18	0.4417097404
19	0.4372407993
20	0.4342072475
21	0.4311013486
22	0.4280818183
23	0.4248786348
24	0.4212049016
25	0.4182607333
26	0.4152334764
27	0.4117729403
28	0.4091294894
29	0.4062987379
30	0.4033991738
31	0.4006464278
32	0.3983652112
33	0.3955166949
34	0.3931328095
35	0.3905297341
36	0.3878056773
37	0.3854490094
38	0.3829878226
39	0.380475462
40	0.3781485374
41	0.3760377
42	0.3737330117
43	0.3717106395
44	0.3697325349
45	0.3676753308
46	0.3655529535
47	0.3636646527
48	0.3618198165
49	0.3601067585
50	0.3580237693
51	0.3561176088
52	0.3545637941
53	0.3528083425
54	0.3512577001
55	0.3495714125
56	0.3478245881
57	0.3462020432
58	0.3446526173
59	0.3432287128
60	0.3416801299
61	0.340194059
62	0.3386325919
63	0.3372243739
64	0.3356739537
65	0.3344575297
66	0.3331717403
67	0.3318756807
68	0.330443243
69	0.329076113
70	0.3278045698
71	0.3264438144
72	0.3250718197
73	0.3236484469
74	0.3226186563
75	0.3212443779
76	0.3199936802
77	0.3187984336
78	0.3174790454
79	0.316281163
80	0.3152136497
81	0.3143102093
82	0.3131191989
83	0.3119379775
84	0.3107538203
85	0.3096582707
86	0.3084258105
87	0.3071543132
88	0.3063239045
89	0.3053024372
90	0.3042395795
91	0.3032807204
92	0.3024758175
93	0.3015071043
94	0.3005245565
95	0.2996462748
96	0.2989388719
97	0.2979039574
98	0.2968040747
99	0.2957886988
