iter	Passed	Remaining
0	579	57377
1	998	48916
2	1410	45607
3	1825	43821
4	2238	42526
5	2653	41577
6	3073	40831
7	3488	40119
8	3903	39467
9	4321	38892
10	4736	38326
11	5151	37781
12	5569	37270
13	5983	36753
14	6397	36253
15	6813	35771
16	7231	35307
17	7656	34878
18	8071	34409
19	8485	33943
20	8900	33481
21	9316	33031
22	9732	32583
23	10148	32138
24	10567	31701
25	10982	31258
26	11400	30822
27	11821	30399
28	12238	29963
29	12657	29533
30	13072	29096
31	13488	28663
32	13914	28250
33	14331	27820
34	14751	27395
35	15169	26967
36	15581	26531
37	16003	26111
38	16453	25735
39	16893	25340
40	17338	24950
41	17787	24563
42	18248	24189
43	18693	23792
44	19142	23396
45	19581	22986
46	20008	22562
47	20426	22128
48	20861	21713
49	21307	21307
50	21735	20883
51	22152	20448
52	22568	20013
53	22984	19579
54	23399	19144
55	23816	18713
56	24252	18296
57	24684	17874
58	25098	17441
59	25515	17010
60	25931	16579
61	26348	16149
62	26765	15719
63	27178	15287
64	27593	14858
65	28009	14429
66	28427	14001
67	28846	13574
68	29271	13151
69	29695	12726
70	30120	12302
71	30532	11873
72	30948	11446
73	31370	11022
74	31788	10596
75	32207	10170
76	32626	9745
77	33041	9319
78	33459	8894
79	33876	8469
80	34290	8043
81	34704	7617
82	35120	7193
83	35538	6769
84	35953	6344
85	36368	5920
86	36791	5497
87	37208	5073
88	37624	4650
89	38039	4226
90	38457	3803
91	38870	3380
92	39286	2957
93	39700	2534
94	40116	2111
95	40534	1688
96	40945	1266
97	41364	844
98	41781	422
99	42196	0
